year,variety,type,CP_rosemount,CP_stpaul,NDF_rosemount,NDF_stpaul,NDFD_rosemount,NDFD_stpaul
2015,54HVX41,reduced lignin,226,234,351,351,447,453
2015,54R02,conventional,221,226,359,364,429,419
2015,DKA43-22RR,conventional,224,228,357,363,428,418
2015,WL 355.RR,conventional,227,230,346,356,436,417
2016,54HVX41,reduced lignin,186,182,403,416,333,339
2016,54R02,conventional,182,178,414,424,300,306
2016,DKA43-22RR,conventional,186,175,405,430,305,305
2016,WL 355.RR,conventional,184,178,407,419,301,306
